Biblioteca,Descricao do tipo de obra,Total de obras,Total de exemplares,Total de exemplares adicionais
Materiais on-line,Livros,38,0,0
Materiais on-line,Artigos,12,0,0
Materiais on-line,Dissertações,23,0,0
Materiais on-line,TCC - Graduação,562,0,0
Materiais on-line,Livro eletrônico,175,0,0
Materiais on-line,Teses,22,0,0
Materiais on-line,TCCP - Pós-Graduação,70,0,0
Materiais on-line,Periódicos,3,0,0
Materiais on-line,Periódicos avulsos em bases se,1,0,0
Materiais on-line,Manual,1,0,0
Materiais on-line,Relatórios,3,0,0
Materiais on-line,TFC (Trab.Final Curso Tecnico),78,0,0
Araraquara,Livros,2157,8788,0
Araraquara,Apostila,1,1,0
Araraquara,Literatura,1,1,0
Araraquara,Periódicos,54,722,0
Araraquara,DVD,2,2,0
Araraquara,Referência,12,59,0
Avaré,Livros,1985,7010,0
Avaré,Folhetos,1,3,0
Avaré,Catálogo,12,46,0
Avaré,Periódicos,13,46,0
Avaré,DVD,4,4,0
Avaré,CD-ROM,3,9,0
Avaré,CD,27,47,0
Avaré,Referência,3,24,0
Barretos,Livros,1504,7635,76
Barretos,Folhetos,2,6,0
Barretos,Apostila,7,24,0
Barretos,Periódicos,2,9,0
Barretos,Referência,19,119,11
Birigui,Livros,2880,8480,145
Birigui,Folhetos,73,149,0
Birigui,Artigos,10,0,0
Birigui,Dissertações,2,2,0
Birigui,TCC - Graduação,32,32,0
Birigui,Livro eletrônico,1,1,0
Birigui,Teses,2,2,0
Birigui,TCCP - Pós-Graduação,1,1,0
Birigui,Gravação de som,1,1,0
Birigui,Periódicos,43,842,3
Birigui,Periódicos avulsos em bases se,1,7,0
Birigui,DVD,56,61,0
Birigui,CD-ROM,20,25,0
Birigui,CD,3,3,0
Birigui,Referência,36,102,20
Birigui,Relatórios,1,1,0
Birigui,Kit / Jogo,1,1,0
Birigui,Normas,15,26,0
Birigui,TFC (Trab.Final Curso Tecnico),71,71,0
Birigui,Fone de ouvido,1,8,0
Birigui,Tridimensional,1,1,0
Boituva,Livros,1258,5136,94
Boituva,Periódicos,1,45,0
